No.,Social_acceptance,Comment
108,No,রেজিস্ট্রার হচ্ছে বড় গাধা অর উপাচার্য হচ্ছে হাড়ে হারামজাদা।
109,No,"ছাগল দিয়ে যেখানে হয় হালচাষ, রামছাগল সেখানে হয় রেজিস্ট্রার।"
110,No,"এসব বিশ্ববিদ্যালয় এমন জায়গা, যেখানে পিয়ন থেকে খুব অল্পসময়ে অফিসার হওয়া যায়, অন্য কোন সরকারি , স্বশাসিত অফিসে যা অকল্পনীয়।"
111,No,এই বোকাচোদা গুলা আমাদের দেশের পাব্লিক বিশ্ববিদ্যালয়ের শিক্ষক
112,No,পরিষ্কার জল ঘোলা করে পান করাই গাধার বীরত্ব!
113,No,"ছাগল কোটায় ""রামছাগল"" যখন চেয়ার পায়, তখন এই অবস্থা খুবই স্বাভাবিক..."
114,No,বুঝছি আবার রেজিস্ট্রেশন করতে কইছে।
115,Yes,এরা সমাজের জীবানু।
116,No,অনেক গুলো কু মিইল্লা একটা বিদ্যালয় বানাইয়া সামনে বিশ্ব লাগাইয়া দিছে ।
117,No,কোপা শামসু
118,No,তারে পেদানি দিলেই হয়
119,No,বিশ্ববিদ্যালয়ে এই রকম লোক নিয়োগ দিলে শিক্ষা ব্যবস্থা ধ্বংস হতে সময় লাগবে না।
120,Yes,আমলারা দেশটাকে তাদের বাবর সম্পত্তি মনে করে
121,Yes,কানার হাতে কুড়াল দিলে এমন অবস্থা -ই হবে
122,No,মনে হয় পছন্দের প্রার্থী খুঁজে পায়নি এখনো।
123,Yes,বিশ্ববিদ্যালয় চাকরি করলে ভিসিরকে আর রেজিস্ট্রারের তেলের উপরে রাখতে হয়
124,No,দেখ কুমিল্লা তে বাল পাকনা রেজিস্ট্রার কি খেলা টা না দেখাইলো...
125,No,আমার একাউন্ট ও তো আছে কিন্তু চালিয়ে মজা পায় না
126,Yes,ছি ছি এতো নোংরা কথা
127,Yes,সবগুলা কমেন্টস পরলাম খুব ভালো লাগলো। আমার মনে হয় একটা সময় আমাদের পরিবর্তন আসবে।
128,Yes,প্রতিবাদ করা দরকার।তারচেয়ে বেশি দরকার পারিবারিক ও সামাজিক পরিবর্তন।
129,Yes,এখান থেকে আমাদের বোঝা উচিৎ যে যৌনশিক্ষা কতটা প্রয়োজন।
130,Yes,"বেহায়াপনা করে সন্তানকে শিক্ষা দিবেন, মানুষ বানানোর চেষ্টা করেন, অন্যায় কে লালন করবেন।তো ঐ সন্তান ধর্ষক হবেনা তে কি আব্দুল কদের জীলানি সাহেব তৈরি হবে..... এখন আবার বিচারেরও দাবি করেন......."
131,No,হ্যাকাররা পারলে আমার বাল ছিড়া নিক।
132,No,আমি হ্যাক করছি ভাই
133,Yes,"ভাই আমি গরীব মানুষ, আমাকে কিছু করিস না"
134,Yes,অসংখ্য ধন্যবাদ
135,Yes,অ্যাপ এর নাম টা গোপন রাখলে ভালো হতো।
136,Yes,কি ট্যালেন্ট রে বাবা!?
137,Yes,টিমের প্রত্যেক সদস্যকে ধন্যবাদ।এই অপরাধীর এমন শাস্তি কামনা করছি যে অন্যান্য অপরাধী সাবধান হয়ে যায়।
138,Yes,ধন্যবাদ
139,Yes,অপরাধীর মুখ দেখালে কি কোন সমস্যা আছে
140,Yes,ভদ্রলোকের চেহারা ঘোলাটে করছেন কেন
141,Yes,কঠিন শাস্তির দাবী জানায়
142,Yes,এই গুলারে পুলিশে দিয়ে লাভ নাই। জনগণের হাতে ছেড়ে দিন। মারতে মারতে প্রস্রাবের রাস্তা দিয়া গু বের করে ফেললে ঠিক হবে এই গুলা।
143,No,এর সেমাই একটু বাড়িয়ে দিয়েন বেচারাদের যাও এবার জেল থেকে লাইভে আসো সোনাবাবুরা!
144,No,"পুটি ধরে লাভ নাই,,,,, বোয়াল ধরুন"
145,Yes,এই কুলাঙ্গার বখাটেদের আণ্ডা থেরাপি দেওয়া দরকার।
146,No,ক্রসফায়ার দিয়ে দেন..
147,No,"শালাগো পুইতা ফালানো উচিৎ,আর ওদের যে উকিল জামিন ধরবে ওদের বিরুদ্ধেও ব্যবস্থা নেওয়া উচিৎ!!"
148,No,"উহাদের পশ্চাৎ দেশে ঘনীভূত সালফিউরিক এসিড ফোটায় ফোটায় ঢেলে দেয়ার ভিডিও লিং টা যদি জেল কতৃপক্ষ ফ্ল্যাশ কইরা দিত, আহা রমজান মাসে শান্তি পাইতাম।"
149,No,হাতুরি দিয়া বিচি ছেইচ্চা দেন তারপর দেখবেন বউরে ও আপন বইনের নজরে দেখবো।
150,No,পুলিশ প্রশাসন কে অনেক অনেক ধন্যবাদ
151,Yes,সাহস সাফল্যের চাবি কাঠি
152,Yes,জুতা দিয়ে পিডান দেন
153,No,তাদের বাবা মা কে জেলে আনা হউক তাহলে বুঝবে ছেলে জন্ম দিয়ে পাঠা হিসাবে ছেরে খাওয়ালে কি হয়
154,No,এ রকম চলবে সবসময় #হোকপ্রতিরোধ
155,Yes,ওদের নিয়ে অস্ত্র উদ্ধারে যাওয়া হোক
156,Yes,"দোষী প্রমাণ হলে এদের কঠিন শাস্তির ব্যবস্থা করা হোক,,,,"
157,Yes,এখানে তো ৬টা বখাটের ছবি দেখা যাচ্ছে
158,Yes,"এদের নুনুর মাথায় আঠা লাগায় দেন,,,জেনো ওদের নুনুর ভেতরের সুপার গ্লু জেনো আর বের না হতেপারে,,,"
159,No,শক্ত শাস্তি হতে হবে
160,Yes,ফাসি চাই
161,Yes,"হোক প্রতিবাদ, হোক প্রতিরোধ।"
162,Yes,থার্ড ডিগ্রী শাস্তি দেওয়া হউক যা দেখে অন্য বখাটেরা শিক্ষা নিতে পারে।
163,Yes,এরা হচ্ছে জারজ সন্তান।
164,No,ভাই ধরছে শালাগো ।
165,No,আলহামদুলিল্লাহ্‌।
166,Yes,সাব্বাস! এভাবেই হোক প্রতিরোধ!
167,Yes,রিমান্ডে না নিয়ে সুধু কারাগারে দিলে তো হবেনা।
168,Yes,এই কাংকির পুলাগো জতার মালা গলায় দেয়াহক
169,Yes,প্রত্যেক নারীকেই এরকম প্রতিবাদী হতে হবে।।
170,No,দৃষ্টান্তমূলক শাস্তি চাই
171,Yes,"পিটায়া পিনিক নামায়ে দেয়া উচিৎ, জানোয়ারদের।"
172,Yes,"সাবাশ, আপু। খুব ভালো কাজ করেছেন। এখন এদের নামে কেস না করে, সোজা ক্রসফায়ারে দেয়া উচিত। তাহলে সারা দেশে এদের যত ভাই- বেরাদর আছে, সারাদিন মেয়েদের উত্ত্যক্ত করে, একদম ঠিক হয়ে যাবে।"
173,No,ঈদের জন্য ভাল জায়গা
174,Yes,এদের পিঠের চামড়া তুলে আমার একটা জুতো তৈরি করব
175,Yes,এই বখাটেদের করা ভিডিও আমি দেখেছি ওদের মানসিকতা অনেক নিন্মমানের ।
176,No,"এই ছেলেদের একজনের এক চাচা উকিল,এক চাচা পুলিশে আছে.... আইন যখন নিজের পরিবারে তখন এরাই তো অনিয়ম করবে..."
177,Yes,এদেরকে ভালো ডলা দেওয়া হউক
178,Yes,এটা কি আদো ধর্ষন??তাহলে নরমাল শারিরীক সম্পর্ক কোনটা?
179,No,দেশে বিচার না থাকার কারণে এসব অহরহর ঘটছে
180,Yes,আইচ্ছা ধর্ষন টা কি ভাবে করছে
181,Yes,আকাম করে মজা করওরা আর মারা গেলে জনগনের ভোগান্তি
182,No,ওরে এসব নাটক এখন মানুষ বোঝে মনে যা চায় তাই বলে যাচ্ছো আলেমদের বিরুদ্ধে তোদের বিচারও হবে এই বাংলার মাটিতে
183,No,শয়তান ও এ কথা বিশ্বাস করবে না!
184,No,"এসব মিথ্যা নাঠক জনগন জেনেগেছে অনেক আগেই,প্রসাশন কি চায় এটা সবাই জানে।"
185,Yes,"ঢাকা মাফিয়া তাহাজ্জুদওয়ালী দেশের মাফিয়া মিডিয়াগুলো কোথায় যারা স্বামী-স্ত্রীর বৈধ অডিও ক্লিপ টেলিভিশনে প্রচার করে বৈধকে অবৈধ করতে চেয়েছিল,এখন অবৈধ সম্পর্কের হত্যারকান্ডের পরও অবৈধ অডিও ক্লিপগুলো মাফিয়া মিডিয়াতে প্রচার হয়না"
186,Yes,"তাহাজ্জুদওয়ালী মাফিয়ার দেশেরেহত্যাকে আত্নহত্যা বলে চালিয়ে দিলে ,স্ত্রী দিয়ে ধর্ষন মামলা করালে,পুলিশ নিরস্র মানুষের উপর নির্বিচার গুলি করে উল্টো ভিকটিমের নামে মামলা হলে , বয়োবৃদ্ধ ওলামাদেরকে রোজার মত মাসে গ্রেফতার করে রিমান্ডে নির্যাতন করলে, করোনার মতো মহামারী পৃথিবীতে না এসে কোথায় যাবে? হাদিসের ভাষা রোজা রেখে যে মিথ্যা কথা পরিত্যাগ করতে তার রোজা রেখে উপবাস থাকা আল্লাহর কোন প্রয়োজন নেই"
187,No,"সমঝোতার প্রস্তাব দিয়েছিল হেফাজত মহাসচিব গনগ্রেফতার বন্ধ করতে,জেলের কুঠিরের ভয়ে, অথচ এই আলেমেরা ওয়াজে যুগে যুগে নবী,সাহাবী,তাবেতাঈনদের জেলজুলুম নির্যাতন কাহিনী বলে মানুষের চোখের পানি ঝরিয়েছে, সরকারের ফাঁদে সমঝোতার অংশ হিসেবে হেফাজতের বর্তমান কমিটি বিলুপ্ত হওয়া মানে আরেকটা তাহাজ্জুদওয়ালী এপ্রিলফুল"
188,No,"কোন বৈঠক ছাড়া শুধু নগরীর ভিডিও বার্তায় হেফাজত কমিটি বিলুপ্ত ডালমে কূচ কালা হে, সংবাদ সম্মেলন ছাড়া জাতিকে ক্লিয়ার করা ছাড়া ,এটা বিশ্বাস করে ও রিমান্ডের তথ‌্য বিশ্বাস রোজা নষ্ট করবেন না,মনে রাখবেন রোজা আখিরাতের একমাত্র পাথেয়, রোজা মাসে এই গাঁজাখুরি তারা করবে ""সুরা বাকারা আয়াত ৮"""
189,No,"পৃথিবীর ২য় মুসলিম সংখ্যাগরিষ্ঠ দেশে মাহে রমজানে দাদাবাবু ও ওয়েস্টার্নকে খুশি করার জন্যে যেভাবে বয়োবৃদ্ধ ওলামাদের গ্রেফতার ও রিমান্ডে নির্যাতন করতেছে দাদাবাবুরা বেনামী বিশ্ববিদ্যালয় থেকে একটা ডিক্রী দিতে পারবে কিন্তু নোবেল কমিটির নজরাকষর্ন করতে পারলে ""জঙ্গি দমনের নামে ওলামাদের নির্যাতন "" তাহলে হয়তো ২১ বা ৪১ সালের শান্তিতে নোবেলের জন্য ভূষিত হতে পারে তাহাজ্জুদওয়ালী, ইফতারের পূর্বমুহূর্তে সবাইকে অনুরোধ"
190,Yes,২৩শে জুন সিরাজদ্দৌলার পতনের মাধ্যমে বাংলার স্বাধীনতার সূর্য অস্তমিত হয়ে পুরো ভারতবর্ষ ২০০ বছর গোলামির জিঞ্জিরে আবদ্ধ ছিল আর ১/১১ মাধ্যমে বাংলাদেশের গনতন্ত্র অস্তমিত করে তা হয়ত খালেদা জিয়ার ভবিষ্যতবাণী সিকিমে রূপান্তরিত সম্ভবনা
191,Yes,নিজেরা ঠিক হন।এসব দরকার নাই।
192,Yes,সমাবেশ শেষে এরাই আবার আগুন নিয়ে হোটেলে যাবে
193,Yes,আমরা ধর্ষণ আর ব্যভিচারের পার্থক্য বুঝলাম নাহ।
194,Yes,আগে নিজেরা ছেলেমেয়েদের ব্যাপারে সচেতন হোন তারপরে মাঠে নামেন।
195,Yes,দন্ত বিহীন হা হা রিয়াক্ট দিয়েছে। আমার অনুর্বর মস্তিষ্ক ইহার কোনই যৌক্তিক অর্থ খুঁজিয়া পাইলোনা
196,Yes,"আলগা পিড়িত,"
197,Yes,"বলদা, মোমবাতি জ্বালাইলে নি কুকাম বন্ধ কইরা দিব!আইন ও প্রয়োগ ছাড়া!!"
198,No,রক্তক্ষরণ না হলে তো জাতি জানতোই না।প্রত্যেকটা অবাধ মেলামেশায় রক্তক্ষরণ হোক প্রত্যাশা করছি
199,No,অসভ্য মহিলা! আমি বুঝি না মানুষ কেন এদের হাইলাইট করে!
200,No,নষ্ট মেয়ে
201,No,লেন্ডি
202,No,১২বাতারির রিপ্লেই কেউ কান দিবেন না শুধু ১২বাতারিকে কমেন্ট করে চলে যান
203,No,১২ ভাতারি
204,No,বেশরম নিলজ্জ
205,No,কেন আপু উজ্জা বাঁশ খাইতে আসো
206,No,"কোয়েল মল্লিক ।। হ্যা ইনিও একজন নায়িকা, কিন্তু এনাকে নিয়ে আমাদের অকারন সমোলচনা করতে হয়না ।২০০৩ সালে টলিউডে পা রেখে আজ ২০২১ এসেও তার চরিত্র নিয়ে প্রশ্ন তুলতে হয়না। সুপার স্টার নায়িকা কখনো কোনো কন্ট্রোভার্সি তে জরান নি এমন কী আজ অব্দী কোনো ঘনিষ্ঠ দৃশ্যে বা চুম্বন দৃশ্যে অভিনয় না করেও হয়ে উঠেছেন টলি কুইন। ২০১৩ সালে বিয়ে করে ২০২০ তে মা হয়েছেন তিনি । এর জন্য তাকে প্রশ্নের মুখোমুখি হতে হয়নি। বিয়ের পরও তিনি দেব বা জিত এর সাথে সমান তালে অভিনয় করে গেছেন কিন্তু তার জন্য তাকে তাদের সাথে পরকীয়া করতে হয়নি । ২০১৩ তে বিয়ে করে এখনো অব্ধি স্বামী ছেলে কে নিয়ে সুখে আছেন তিনি। কাওকে প্রকাশ্যে ব্যাক্তিগত আক্রমন ও করেননি রাজনীতি তে না নেমেও মানুষ এর সেবা করেছেন।ভালো থাকুন কোয়েল। এভাবেই থাকুন ।অনেক ভালোবাসা আপনার জন্য।"
207,No,মুসলমান ধর্ম ত্যাগ করে হিন্দু ধর্মের ছেলেকে বিয়ে করা এরকম পতিতা বাংলাদেশের অনেক আছে তোমার মুখে মুতি করলেও মানুষের রাগ শোধ হবে না ব***** কোথাকার মুসলমান হিসেবে বাংলাদেশের মানুষ তোমাকে বয়কট করবে
208,Yes,"তোমার জন্য বাল রেখে দিছি,,,,দেখবো তুমি কেমন বাল কাটতে পারো"
209,No,ফালতু
