No.,Social_acceptance,Comment
58,Yes,ধর্ষক প্রমাণিত হওয়ার পর ধর্ষকের বিচার মৃত্যুদণ্ড না হওয়া পর্যন্ত ধর্ষণ কখনো কোনোদিন থামবে না চলবেই...।
59,No,এতে লাভ কি??বাবা মা সামলাতে না পারলে জন্মদেয় কেন?? ছেলের বাবা মা ভাই এর ছবি কোথায় ছড়িয়ে দেওয়া হয় না কেন?? তাহলে টনক নড়বে
60,Yes,সমাজব্যবস্থায় পরিবর্তন দরকার
61,Yes,মোমবাতি জ্বালালে কি হবে???
62,Yes,তোরা আগে গ্রেফতার কর। পরে হাজারটা মামলা দিয়ে আটকানো যাবে।
63,Yes,ঘৃণিত অপরাধ ।
64,Yes,"পার্বত্য চট্টগ্রামে মুসলিম হওয়ার কারণে একজন মানুষকে ব্রাশ ফায়ার করে মারা হল,তা নিয়ে তো কোন মিডিয়া নিউজ করতে দেখলানা।"
65,No,এভাবে অপ্রাসঙ্গিকভাবে সাম্প্রদায়িকতা টেনে আনা? চুটিয়া সংবাদ মাধ্যম ৷
66,Yes,ঘটনা মাদক এর ফেইসবক পোষ্ট নিয়া অথচ সবাই পূজা বন্ধ করে প্রতিবাদ করছে।এখানে পূজা পালনে কেও তো বাধা দেয় নি। ২ টা কি এক জিনিস হইল। বুজলাম না ব্যাপার টা।
67,Yes,তীব্র নিন্দা জানাই
68,Yes,এটার প্রভাব ভারতের বিভিন্ন রাজ্যে পরতে পারে
69,Yes,এক শ্রেনী এটা কে আবার সংখ্যালঘু নির্যাতন বলে চালাবে!!
70,Yes,এক ভাই অন্য ভাইয়ের উপর হামলা করেছে
71,Yes,প্রথম আলোর অন্যান্য জেলাপ্রতিনিধিদেরকে আরো তৎপর হতে হবে । বিশেষ কিছু জেলা আছে সেখানে স্থানীয় সাংবাদিকরা মাসোয়ারা পায় বলে স্থানীয় রাজনৈতিক দুর্বৃত্তায়নের কোন খবরই জাতি জানতে পারেনা ।
72,No,হায় মুজিব সন্তান।
73,No,সালাগো কর্মের ঠিক নাই ধর্ম নিয়া বাড়াবাড়ি।
74,Yes,বেয়াদব গুলোর জন্য ইসলামধর্ম এর ক্ষতি হচ্ছে। হাস্যকর এ পরিনত করে আমাদের কে। এদের জনগণের হাতে তুলে দিন।
75,Yes,চুরি করবে কিন্তু চোর বলা যাবে না
76,Yes,ধীমান ঘোষ নিজেও ছাত্রলীগ।অকারণে ধর্মের নাম টেনে সাম্প্রদায়িক বিভেদ ছড়াচ্ছেন কেন?
77,No,"আচ্ছা সংবাদীকরা....কি গাজা না খেয়ে শিরোনাম দিতে পারে না??? .....মাদক সম্পর্কে স্ট্যাটাস দেওয়াকে কেন্দ্র করে এইটা হইছে.....আর শিরোনাম এমন লেখছে যে মনেহয় পূজা উদযাপন নিয়ে স্ট্যাটাসের কারনে হামলা.......আপনারা শালা, মানুষের শুধু শিরোনাম দেখাকে পুজি করে চলেন....শিরোনাম হতে পারত ফেসবুকের মাদক স্ট্যাটাসের কারনে ধীমানের ওপর হামলা... ধীমান ..পূজা...উদযাপন কমিটির নেতা"
78,Yes,"সবাই আতংকিত হবেন না,ভালোভাবে খবর নিলে বিম্পি-জামাত-হেফাজতের যোগসূত্র পাওয়া যেতে পারে, তাই সবাইকে ধৈর্য্য ধরার অনুরোধ করছি"
79,No,এই ছাত্রলীগ নেতাকে হেফাজতের আহ্বায়ক ঘোষনা করা হউক।মামুনুল হকের জায়গা পূরনের যোগ‍্য প্রার্থী পাত্তয়া গেছে।
81,Yes,সোনার ছেলে বলে কথা!!
82,Yes,ওরা একই জাত দুঃখ্য পাওয়ার কিছু নাই
83,Yes,"এখন সবাই ই ছাত্রলীগ,সবাই ছাত্রলীগ ট্যাগ নিয়ে চলে।"
84,No,ওরা কি আসলেই ছাত্রলীগ ? নাকি ইসকন ধর্মীয় কেও ? কারণ সাধারণ হিন্দুদের সাথে ইসকন সন্ত্রাসী হিন্দুদের ব্যাপক শত্রুতা ।
85,Yes,খুবি বাজে কাজ। মানুষের মধ্যে সম্পৃতি নষ্ট হচ্ছে।
86,No,ছাত্রলীগ ব্যতীত হিন্দু ভাইদের উপর কেউ আঘাত করে নাই ।
87,Yes,"ওরা তো ভাই ভাই,কোন সমস্যা নাই!"
88,Yes,সোনার ছেলেদের কাজকারবার নিয়ে লিখতে লজ্জা হয়না আপনাদের।
89,Yes,"এটা কি সত্যিই ছাত্রলীগ করেছে???প্রথম আলোকে বলবো ভালো করে খবর নিন।এটা হেফাজতের কাজ নয় তো?দেখুন সুনামগঞ্জের শাল্লায় কিন্তু হিন্দু পল্লীতে আক্রমণকারী হলো ওয়ার্ড আওয়ামী লীগের সভাপতি স্বাধীন মেম্বার। তার কিছুই হয়নি। আর সরকার, পুলিশ আর মোদী বলে বেড়াচ্ছে হেফাজতে ইসলামের নাম।আমাদেরকে সঠিক তথ্যটাই দিন।"
90,Yes,এখন মানববন্ধন হবে না
91,Yes,"দুই বিপরীত ধর্মের মানুষের মাঝে সম্পূর্ণ ভিন্ন একটি ঘটনা নিয়ে সংঘর্ষ হয়েছে সুতরাং দয়াকরে কেউ এরমাঝে ""ইসলাম ধর্ম"" কিংবা ""হিন্দু ধর্ম"" কে টেনে আনবেন না।।"
92,Yes,এখানে পূজা পরিষদের কাজ কি? কেউ কি পূজা অর্চনায় বাধা দিয়েছে?
93,Yes,দুঃখ জনক... সঠিক বিচার হওয়া উচিত.....
94,Yes,আমি এর তিব্র নিন্দা জানাচ্ছি
95,Yes,মগের মুল্লুক
96,Yes,"কতোটা প্রতিহিংসা পরায়ন হলে এমন কাজ করতে পারে! যে দেশের শিক্ষকদের নিয়ে মানুষ হাসাহাসি করে, থুথু মারে, সে দেশের অন্যদের কি অবস্থা হবে তার প্রমাণ প্রতিদিন খবরের কাগজে বের হচ্ছে!"
97,No,প্রতিবন্ধি কোটায় চাকরি হলেতো এমনটাই হবে। গাজাখোর হলে এমনটাও হয়
98,No,কার জন্য প্রযোজ্য? শিক্ষক না রেজিস্ট্রার? এর মানে যে রেজিস্ট্রার বুঝতে পারবেনা তিনি একটা গুরুত্বপূর্ণ দায়িত্বে থাকার সম্পূর্ণ অযোগ্য। এঁরা শুধু আগাছার জন্ম দিবেন। এদেরকে দ্রুত অন্যত্র সরিয়ে দেওয়া হোক।
99,Yes,একটা দেশকে ধংস করার জন্য তার শিক্ষা প্রতিষ্ঠান গুলিকে আগে ধংস করতে হয়। তারি ষোল কলা পূরন হতে আর বাকি নাই।
100,Yes,পাবলিক বিশ্ববিদ্যালয় গুলো একটা মসকারার জায়গা হয়ে উঠতেছে দিনদিন।
101,Yes,পাবলিক বিশব্বিদ্যালয় গুলো অযোগ্যদের দখলে এখন!
102,Yes,বুজতে কারা সব চালায়। মূর্খ বল্লে মূর্খেরও অপমান।
103,Yes,অবশ্যই লিখা উচিৎ ছিল .তাহলেই বুঝা যেত রেজিস্ট্রার কত ক্ষমতাশালী ।
104,Yes,ভাইরে ভাই। কিএক্তা অবস্থা।
105,Yes,ঘুষ নিয়ে চাকুরী দিলে এর চেয়ে আর কি আশা করা যায়
106,Yes,"ইনাদের অযোগ্যতার দায় যারা এঁদের নিয়োগ দিয়েছেন, তাঁদের।"
107,No,কোন জমিদারের বাচ্চা এরা?
108,No,রেজিস্ট্রার হচ্ছে বড় গাধা অর উপাচার্য হচ্ছে হাড়ে হারামজাদা।
109,No,"ছাগল দিয়ে যেখানে হয় হালচাষ, রামছাগল সেখানে হয় রেজিস্ট্রার।"
110,Yes,"এসব বিশ্ববিদ্যালয় এমন জায়গা, যেখানে পিয়ন থেকে খুব অল্পসময়ে অফিসার হওয়া যায়, অন্য কোন সরকারি , স্বশাসিত অফিসে যা অকল্পনীয়।"
111,No,এই বোকাচোদা গুলা আমাদের দেশের পাব্লিক বিশ্ববিদ্যালয়ের শিক্ষক
112,Yes,পরিষ্কার জল ঘোলা করে পান করাই গাধার বীরত্ব!
113,Yes,"ছাগল কোটায় ""রামছাগল"" যখন চেয়ার পায়, তখন এই অবস্থা খুবই স্বাভাবিক..."
114,Yes,বুঝছি আবার রেজিস্ট্রেশন করতে কইছে।
115,Yes,এরা সমাজের জীবানু।
116,No,অনেক গুলো কু মিইল্লা একটা বিদ্যালয় বানাইয়া সামনে বিশ্ব লাগাইয়া দিছে ।
119,Yes,বিশ্ববিদ্যালয়ে এই রকম লোক নিয়োগ দিলে শিক্ষা ব্যবস্থা ধ্বংস হতে সময় লাগবে না।
120,Yes,আমলারা দেশটাকে তাদের বাবর সম্পত্তি মনে করে
121,Yes,কানার হাতে কুড়াল দিলে এমন অবস্থা -ই হবে
122,Yes,মনে হয় পছন্দের প্রার্থী খুঁজে পায়নি এখনো।
123,Yes,বিশ্ববিদ্যালয় চাকরি করলে ভিসিরকে আর রেজিস্ট্রারের তেলের উপরে রাখতে হয়
124,No,দেখ কুমিল্লা তে বাল পাকনা রেজিস্ট্রার কি খেলা টা না দেখাইলো...
125,Yes,আমার একাউন্ট ও তো আছে কিন্তু চালিয়ে মজা পায় না
126,Yes,ছি ছি এতো নোংরা কথা
127,Yes,সবগুলা কমেন্টস পরলাম খুব ভালো লাগলো। আমার মনে হয় একটা সময় আমাদের পরিবর্তন আসবে।
128,Yes,প্রতিবাদ করা দরকার।তারচেয়ে বেশি দরকার পারিবারিক ও সামাজিক পরিবর্তন।
129,Yes,এখান থেকে আমাদের বোঝা উচিৎ যে যৌনশিক্ষা কতটা প্রয়োজন।
130,Yes,"বেহায়াপনা করে সন্তানকে শিক্ষা দিবেন, মানুষ বানানোর চেষ্টা করেন, অন্যায় কে লালন করবেন।তো ঐ সন্তান ধর্ষক হবেনা তে কি আব্দুল কদের জীলানি সাহেব তৈরি হবে..... এখন আবার বিচারেরও দাবি করেন......."
131,No,হ্যাকাররা পারলে আমার বাল ছিড়া নিক।
132,Yes,আমি হ্যাক করছি ভাই
133,Yes,"ভাই আমি গরীব মানুষ, আমাকে কিছু করিস না"
134,Yes,অসংখ্য ধন্যবাদ
135,Yes,অ্যাপ এর নাম টা গোপন রাখলে ভালো হতো।
136,Yes,কি ট্যালেন্ট রে বাবা!?
137,Yes,টিমের প্রত্যেক সদস্যকে ধন্যবাদ।এই অপরাধীর এমন শাস্তি কামনা করছি যে অন্যান্য অপরাধী সাবধান হয়ে যায়।
139,Yes,অপরাধীর মুখ দেখালে কি কোন সমস্যা আছে
140,Yes,ভদ্রলোকের চেহারা ঘোলাটে করছেন কেন
141,Yes,কঠিন শাস্তির দাবী জানায়
142,No,মারতে মারতে প্রস্রাবের রাস্তা দিয়া গু বের করে ফেললে ঠিক হবে এই গুলা।
143,Yes,এর সেমাই একটু বাড়িয়ে দিয়েন বেচারাদের যাও এবার জেল থেকে লাইভে আসো সোনাবাবুরা!
144,Yes,"পুটি ধরে লাভ নাই,,,,, বোয়াল ধরুন"
145,No,এই কুলাঙ্গার বখাটেদের আণ্ডা থেরাপি দেওয়া দরকার।
146,No,ক্রসফায়ার দিয়ে দেন..
147,No,"শালাগো পুইতা ফালানো উচিৎ,আর ওদের যে উকিল জামিন ধরবে ওদের বিরুদ্ধেও ব্যবস্থা নেওয়া উচিৎ!!"
148,No,"উহাদের পশ্চাৎ দেশে ঘনীভূত সালফিউরিক এসিড ফোটায় ফোটায় ঢেলে দেয়ার ভিডিও লিং টা যদি জেল কতৃপক্ষ ফ্ল্যাশ কইরা দিত, আহা রমজান মাসে শান্তি পাইতাম।"
149,No,হাতুরি দিয়া বিচি ছেইচ্চা দেন তারপর দেখবেন বউরে ও আপন বইনের নজরে দেখবো।
150,Yes,পুলিশ প্রশাসন কে অনেক অনেক ধন্যবাদ
151,Yes,সাহস সাফল্যের চাবি কাঠি
152,No,জুতা দিয়ে পিডান দেন
153,No,তাদের বাবা মা কে জেলে আনা হউক তাহলে বুঝবে ছেলে জন্ম দিয়ে পাঠা হিসাবে ছেরে খাওয়ালে কি হয়
154,Yes,এ রকম চলবে সবসময় #হোকপ্রতিরোধ
155,Yes,ওদের নিয়ে অস্ত্র উদ্ধারে যাওয়া হোক
156,Yes,"দোষী প্রমাণ হলে এদের কঠিন শাস্তির ব্যবস্থা করা হোক,,,,"
157,Yes,এখানে তো ৬টা বখাটের ছবি দেখা যাচ্ছে
158,No,"এদের নুনুর মাথায় আঠা লাগায় দেন,,,জেনো ওদের নুনুর ভেতরের সুপার গ্লু জেনো আর বের না হতেপারে,,,"
159,Yes,শক্ত শাস্তি হতে হবে
161,Yes,"হোক প্রতিবাদ, হোক প্রতিরোধ।"
162,Yes,থার্ড ডিগ্রী শাস্তি দেওয়া হউক যা দেখে অন্য বখাটেরা শিক্ষা নিতে পারে।
163,No,এরা হচ্ছে জারজ সন্তান।
164,No,ভাই ধরছে শালাগো ।
165,Yes,আলহামদুলিল্লাহ্‌।
166,Yes,সাব্বাস! এভাবেই হোক প্রতিরোধ!
167,No,রিমান্ডে না নিয়ে সুধু কারাগারে দিলে তো হবেনা।
168,No,এই কাংকির পুলাগো জতার মালা গলায় দেয়াহক
169,Yes,প্রত্যেক নারীকেই এরকম প্রতিবাদী হতে হবে।।
170,Yes,দৃষ্টান্তমূলক শাস্তি চাই
171,No,"পিটায়া পিনিক নামায়ে দেয়া উচিৎ, জানোয়ারদের।"
172,Yes,"সাবাশ, আপু। খুব ভালো কাজ করেছেন। এখন এদের নামে কেস না করে, সোজা ক্রসফায়ারে দেয়া উচিত। তাহলে সারা দেশে এদের যত ভাই- বেরাদর আছে, সারাদিন মেয়েদের উত্ত্যক্ত করে, একদম ঠিক হয়ে যাবে।"
173,Yes,ঈদের জন্য ভাল জায়গা
174,No,এদের পিঠের চামড়া তুলে আমার একটা জুতো তৈরি করব
175,No,এই বখাটেদের করা ভিডিও আমি দেখেছি ওদের মানসিকতা অনেক নিন্মমানের ।
176,Yes,"এই ছেলেদের একজনের এক চাচা উকিল,এক চাচা পুলিশে আছে.... আইন যখন নিজের পরিবারে তখন এরাই তো অনিয়ম করবে..."
177,No,এদেরকে ভালো ডলা দেওয়া হউক
178,Yes,এটা কি আদো ধর্ষন??তাহলে নরমাল শারিরীক সম্পর্ক কোনটা?
179,Yes,দেশে বিচার না থাকার কারণে এসব অহরহর ঘটছে
180,No,আইচ্ছা ধর্ষন টা কি ভাবে করছে
181,No,আকাম করে মজা করওরা আর মারা গেলে জনগনের ভোগান্তি
182,Yes,ওরে এসব নাটক এখন মানুষ বোঝে মনে যা চায় তাই বলে যাচ্ছো আলেমদের বিরুদ্ধে তোদের বিচারও হবে এই বাংলার মাটিতে
183,Yes,শয়তান ও এ কথা বিশ্বাস করবে না!
184,Yes,"এসব মিথ্যা নাঠক জনগন জেনেগেছে অনেক আগেই,প্রসাশন কি চায় এটা সবাই জানে।"
185,Yes,"ঢাকা মাফিয়া তাহাজ্জুদওয়ালী দেশের মাফিয়া মিডিয়াগুলো কোথায় যারা স্বামী-স্ত্রীর বৈধ অডিও ক্লিপ টেলিভিশনে প্রচার করে বৈধকে অবৈধ করতে চেয়েছিল,এখন অবৈধ সম্পর্কের হত্যারকান্ডের পরও অবৈধ অডিও ক্লিপগুলো মাফিয়া মিডিয়াতে প্রচার হয়না"
191,Yes,নিজেরা ঠিক হন।এসব দরকার নাই।
192,Yes,সমাবেশ শেষে এরাই আবার আগুন নিয়ে হোটেলে যাবে
193,Yes,আমরা ধর্ষণ আর ব্যভিচারের পার্থক্য বুঝলাম নাহ।
194,Yes,আগে নিজেরা ছেলেমেয়েদের ব্যাপারে সচেতন হোন তারপরে মাঠে নামেন।
195,Yes,দন্ত বিহীন হা হা রিয়াক্ট দিয়েছে। আমার অনুর্বর মস্তিষ্ক ইহার কোনই যৌক্তিক অর্থ খুঁজিয়া পাইলোনা
197,No,"বলদা, মোমবাতি জ্বালাইলে নি কুকাম বন্ধ কইরা দিব!আইন ও প্রয়োগ ছাড়া!!"
198,No,রক্তক্ষরণ না হলে তো জাতি জানতোই না।প্রত্যেকটা অবাধ মেলামেশায় রক্তক্ষরণ হোক প্রত্যাশা করছি
199,No,অসভ্য মহিলা! আমি বুঝি না মানুষ কেন এদের হাইলাইট করে!
200,No,নষ্ট মেয়ে
202,No,১২বাতারির রিপ্লেই কেউ কান দিবেন না শুধু ১২বাতারিকে কমেন্ট করে চলে যান
203,No,১২ ভাতারি
204,No,বেশরম নিলজ্জ
205,No,কেন আপু উজ্জা বাঁশ খাইতে আসো
206,Yes,"কোয়েল মল্লিক ।। হ্যা ইনিও একজন নায়িকা, কিন্তু এনাকে নিয়ে আমাদের অকারন সমোলচনা করতে হয়না ।"
207,No,মুসলমান ধর্ম ত্যাগ করে হিন্দু ধর্মের ছেলেকে বিয়ে করা এরকম পতিতা বাংলাদেশের অনেক আছে তোমার মুখে মুতি করলেও মানুষের রাগ শোধ হবে না 
208,No,"তোমার জন্য বাল রেখে দিছি,,,,দেখবো তুমি কেমন বাল কাটতে পারো"
210,No,যত সব ফালতু কান্ড। চরিত্রহীন নারীর এমন হয়
211,No,তুমি বাংলাদেশ খানকি কল্যাণ সমিতির সভাপতি
212,No,ন্যূনতম লজ্জা শরম থাকলে আবার এগুলো নিয়ে কথা বলতে আসতে না ইফতেখার ফাহমি আরো কত কী তাদের সাথে নষ্টামি করার সময় এগুলো মনে ছিল না ছিঃ ছিঃ ছিঃ থু থু দেওয়া উচিত তোমার মুখের উপর
213,Yes,"আল্লাহর ওয়াস্তে এগুলা বাদ দেন,,আলোর পথে আসার চেষ্টা করুন,,আল্লাহ আপনাদের সহিহ বুঝ দিক"
214,No,এই মাগীটাকে দেখলে আমার শরীর চুলকায়
215,No,সালি বেশি বাজে বলছে।।।।
216,No,"পতিতার শেষ পর্যন্ত আকাটা সোনা নেওয়ার দরকার পড়লো,"
217,No,কুত্তা দিয়ে চোদানো দরকার তোমায়
218,No,বান্দর বান্দর লাগতেছে
220,No,এই ছেরিটা কে ঐ বুড়ো দাদা বাবুর সাথে দেখলে ওদের মুখে পাদ দিতে ইচ্ছে করে।
221,No,প্রোগ্রামটি সুন্দর ছিল। মনোযোগ দিয়ে দেখা শেষ করলাম। ‌দুজনকে অসংখ্য ধন্যবাদ।
222,No,বেশ্যা গো আবার সারপ্রাইজ
223,No,ভাতারি মিথিলা
224,Yes,ইভ্যালির মার্কেটিং আইডিয়া দারুণ।ইনিশিয়েটিভ।
225,No,তুরার মারে সুদ্দি হবর হইস
226,No,বালের সারপ্রাইজ
227,No,খানকি মিথিলা অাকাটা সোনায় মজা কেমন
228,No,"অসভ্য, খারাপ, বাজে, কুৎসিত, নোংরা চরিত্রের নারী"
229,No,তোর রাস্তার কুত্তা দিয়ে চো*দা- নো উচিত
230,No,"তাহসান কি মাদাচুত নাকি? সরম লজ্জা মনে হয় বিক্রি করে দিছে,,,আর মিথিলা আপু আপনি জনি দার সাথে যোগাযোগ করেন."
231,Yes,তাহসান আমার পছন্দের মানুষ
232,No,নোটি মিথিলা
233,No,তোর মাকে চুদি
234,No,বেশ্যা মাগী তোর মাকে চুদি
235,No,তুই বারোবাতারি ঐ থাকবি
236,No,"তোদের জন্মের ঠিক নাই, বেশ্যা"
237,No,"বারো ভাতারীর পক্ষ নিয়ে তাহসান তারচেয়েও বড় ভাতারী প্রমাণ করলো,এরা আবার আমাদের নীতি কথা শুনাতে আসে।"
238,No,যার কোন লাজ লজ্জা জাত ধর্ম সমাজ বিবেক কিছু নায়। তার নাম মিথিলানাথ কুত্তা একটা
239,No,বারো ভাতারি তোর নষ্ট মুখটা এবার বন্ধ কর
240,No,চুদমারানি মাগি
241,No,প্রতিটি মেয়েই তার বাবার কাছে রাজকন্যা
242,No,দেহ ব্যবসায় জড়িয়ে পড়া ছেলে মেয়ে গুলো পরবর্তী প্রজন্মের জন্য হুমকি
243,Yes,শুভ জন্মদিন ভাবি
244,No,তোর আবার কিসের সারপ্রাইজ রে সালী...
245,No,তোর সারপ্রাইজের গুষ্ঠী চুদি...
246,No,ভাই বৌদির কম পোশায় না বেগুন লাগবে
247,No,বাংলাদেশের নোবেলের শরিরে পায়খানা লাগিয়ে মিথিলার মুখে ছুড়ে মারা হোক
248,No,কনডম ফাইটা বের হলেতো এমন চিন্তা মাথায় আসবেই
249,No,তোর তো হোগা গরম খুব দেখছি
250,No,তুই কলঙ্কিত নারী
251,No,শালির ঘরের শালি
252,Yes,"সঠিক, তবে পুরুষকেও চাপিয়ে দেয়া যাবেনা। তাদের সম্মতি ও ফ্যামিলি প্ল্যানসহ বাচ্চা নেয়া উচিত"
253,Yes,"""অধিকার ছাড়িয়া দিয়া অধিকার রাখিতে যাইবার মতো এমন বিড়ম্বনা আর নাই।"" --কবিগুরু"
254,No,পাবলিক মহিলা।
255,No,দেখতে একদম সানিলিয়নের মতো লাকতেছে
256,No,"সবাই মিথিলার এই প্রেজ টাতে ঘুরে আসবেন, তাদের আশে পাশের লোক গুলো এমনি, মিথিলাকে সাপোর্ট করার মত হিজড়া সম্প্রদায় বাংলাদেশ অনেক আছে, তাই এনারা খারাপ হওয়ার আশঙ্কা বেশি. উনার প্রত্যেকটা পোস্টে লাইক কমেন্ট করার হিজড়া সম্প্রদায় গুলো দেখে নিন"
257,No,তুই নারী জাতির কলঙ্ক তুর মুখে ভাল কথা মানায় না লজ্জা লাগে শুনতে যে মানুষ এত বেশরম হয় কি করে
258,No,দিদি খানকির পোলা জোরে দে
259,No,মাগী বাজী
260,No,টিপ দিয়ে দুধ খেতে অনেক মজা
261,No,খাওয়া মাল! ভাই ঠকছেন
262,No,ও দিদি আমার প্রেমে একবার পরে দেখো না হেব্বি সুখ দেবো তোমায় প্লিজ চান্স মি
263,Yes,ধৈয্য ধরো অপেক্ষা করো.ভালো দিন তোমার ও আসবে
264,No,এই মেয়েটা হলো একটা মাগী
265,No,দামে কম মানে ভালা মাহির সোনা কালা
266,No,দর আমার নুনুর উপর পরলা আর উঠলা না
267,No,বেয়াদব মহিলা
268,No,তুরো চুতমারানি
269,No,শালী একটা।এক পুরুষ এ মন ভরে না।
270,No,হায়রে মাগী
271,No,জোরে দে খানকির পোলা
272,No,খানকির পোলা জোরে দিলেই তো হয়.
273,No,এই জন্য বলি তুরা হলি পতিতা
274,No,একটা খানকির নাটক সবাই দেখে
275,No,মাগি ফাউল
276,No,খান কীর পোলা জোরে দে
